error_train,error_test,accuracy_train,accuracy_test,time,prob_size
0.2568100358422939,0.24802867383512545,0.7431899641577061,0.7519713261648745,3.6514968600095017,200
0.26953405017921145,0.25591397849462366,0.7304659498207885,0.7440860215053764,4.666834506002488,240
0.23315412186379927,0.22939068100358423,0.7668458781362008,0.7706093189964157,5.925887411998701,280
0.25053763440860216,0.22365591397849463,0.7494623655913979,0.7763440860215054,8.246405969999614,320
0.2593189964157706,0.23799283154121864,0.7406810035842294,0.7620071684587814,6.624806968000485,360
0.25412186379928314,0.24874551971326164,0.7458781362007169,0.7512544802867384,11.435101701004896,400
0.2582437275985663,0.26953405017921145,0.7417562724014337,0.7304659498207885,8.03843032399891,440
0.2396057347670251,0.22652329749103942,0.7603942652329749,0.7734767025089606,8.844971421000082,480
0.26666666666666666,0.25161290322580643,0.7333333333333333,0.7483870967741936,10.46327349600324,520
0.24247311827956988,0.24874551971326164,0.7575268817204301,0.7512544802867384,19.993341603010776,560
0.25125448028673836,0.22007168458781362,0.7487455197132616,0.7799283154121864,14.6164894609974,600
0.26021505376344084,0.25089605734767023,0.7397849462365591,0.7491039426523297,12.557449792002444,640
0.2460573476702509,0.24086021505376345,0.7539426523297491,0.7591397849462366,14.334974390003481,680
0.24050179211469533,0.24587813620071686,0.7594982078853046,0.7541218637992831,22.17488533699361,720
0.25268817204301075,0.24946236559139784,0.7473118279569892,0.7505376344086021,24.298411567986477,760
0.26021505376344084,0.24874551971326164,0.7397849462365591,0.7512544802867384,17.8306875910057,800
0.24731182795698925,0.23799283154121864,0.7526881720430108,0.7620071684587814,18.604802125002607,840
0.2467741935483871,0.24802867383512545,0.7532258064516129,0.7519713261648745,16.574256362000597,880
0.2614695340501792,0.24874551971326164,0.7385304659498207,0.7512544802867384,19.617534162010998,920
0.2456989247311828,0.24587813620071686,0.7543010752688172,0.7541218637992831,24.400427418993786,960
